# Organism: H. sapiens
# Application version: 3.6.0
# Database version: 13 August 2021 00:00:00
# Network generated on: 22 July 2023
# Author: GeneMANIA (genemania.org)
# Notes: Network weight reflects the data source relevance for predicting the function of interest
Entity 1	Entity 2	Weight	Network group	Network
MLH1	TCF7	0.0043669953	Co-expression	Jorissen-Sieber-2008
MLH1	CXCL14	0.00450737	Co-expression	Jorissen-Sieber-2008
MLH1	SLC35D3	0.0033951218	Co-expression	Jorissen-Sieber-2008
MLH1	AXIN2	0.004365701	Co-expression	Jorissen-Sieber-2008
MLH1	NOX1	0.00320119	Co-expression	Jorissen-Sieber-2008
MLH1	SEMA5A	0.0026808719	Co-expression	Jorissen-Sieber-2008
MLH1	TNNC2	0.001915113	Co-expression	Jorissen-Sieber-2008
MLH1	CAB39L	0.0031602278	Co-expression	Jorissen-Sieber-2008
MLH1	CTTNBP2	0.0026317204	Co-expression	Jorissen-Sieber-2008
MLH1	LRRC2	0.0033162269	Co-expression	Jorissen-Sieber-2008
MLH1	SLC39A5	0.001946562	Co-expression	Jorissen-Sieber-2008
MLH1	IHH	0.0019488618	Co-expression	Jorissen-Sieber-2008
RUBCNL	CFTR	0.009696031	Co-expression	Jorissen-Sieber-2008
RUBCNL	DHRS12	0.008735443	Co-expression	Jorissen-Sieber-2008
RUBCNL	HUNK	0.009015381	Co-expression	Jorissen-Sieber-2008
RUBCNL	CYP2B6	0.0072149313	Co-expression	Jorissen-Sieber-2008
RUBCNL	TINAG	0.0053677955	Co-expression	Jorissen-Sieber-2008
RUBCNL	GGT7	0.0055724485	Co-expression	Jorissen-Sieber-2008
RUBCNL	GRM8	0.006142402	Co-expression	Jorissen-Sieber-2008
RUBCNL	KHDRBS3	0.0043286523	Co-expression	Jorissen-Sieber-2008
RUBCNL	FITM2	0.0067015113	Co-expression	Jorissen-Sieber-2008
RUBCNL	RAB32	0.00811645	Co-expression	Jorissen-Sieber-2008
RUBCNL	AXIN2	0.0039700195	Co-expression	Jorissen-Sieber-2008
RUBCNL	CDHR1	0.0038613956	Co-expression	Jorissen-Sieber-2008
RUBCNL	NOX1	0.0032313964	Co-expression	Jorissen-Sieber-2008
RUBCNL	EPDR1	0.0032727215	Co-expression	Jorissen-Sieber-2008
RUBCNL	ASCL2	0.0032548478	Co-expression	Jorissen-Sieber-2008
RUBCNL	BCL11A	0.0040606963	Co-expression	Jorissen-Sieber-2008
RUBCNL	CTTNBP2	0.0029497219	Co-expression	Jorissen-Sieber-2008
RUBCNL	LRRC2	0.003407705	Co-expression	Jorissen-Sieber-2008
RUBCNL	SLC39A5	0.001803991	Co-expression	Jorissen-Sieber-2008
RUBCNL	IHH	0.0021367262	Co-expression	Jorissen-Sieber-2008
RUBCNL	MLH1	0.0025454785	Co-expression	Jorissen-Sieber-2008
NR1I2	CFTR	0.012528203	Co-expression	Jorissen-Sieber-2008
NR1I2	CYP2B6	0.011492653	Co-expression	Jorissen-Sieber-2008
NR1I2	NOX1	0.0048900815	Co-expression	Jorissen-Sieber-2008
NR1I2	SEMA5A	0.0033457787	Co-expression	Jorissen-Sieber-2008
NR1I2	CTTNBP2	0.0041294787	Co-expression	Jorissen-Sieber-2008
NR1I2	SLC39A5	0.00268156	Co-expression	Jorissen-Sieber-2008
NR1I2	IHH	0.0040039727	Co-expression	Jorissen-Sieber-2008
NR1I2	RUBCNL	0.0034766672	Co-expression	Jorissen-Sieber-2008
GPR143	SYT7	0.008172798	Co-expression	Jorissen-Sieber-2008
GPR143	HUNK	0.0065754647	Co-expression	Jorissen-Sieber-2008
GPR143	CYP2B6	0.006483354	Co-expression	Jorissen-Sieber-2008
GPR143	NAALADL2	0.004269219	Co-expression	Jorissen-Sieber-2008
GPR143	GNG4	0.0080179395	Co-expression	Jorissen-Sieber-2008
GPR143	FITM2	0.0065471265	Co-expression	Jorissen-Sieber-2008
GPR143	SPIN3	0.006798487	Co-expression	Jorissen-Sieber-2008
GPR143	POFUT1	0.007916613	Co-expression	Jorissen-Sieber-2008
GPR143	SHROOM4	0.002536274	Co-expression	Jorissen-Sieber-2008
GPR143	NKD1	0.0032352596	Co-expression	Jorissen-Sieber-2008
GPR143	ACOT8	0.0032058118	Co-expression	Jorissen-Sieber-2008
GPR143	TNNC2	0.002108066	Co-expression	Jorissen-Sieber-2008
GPR143	ASCL2	0.0031351321	Co-expression	Jorissen-Sieber-2008
GPR143	CAB39L	0.0033471496	Co-expression	Jorissen-Sieber-2008
GPR143	BCL11A	0.003808907	Co-expression	Jorissen-Sieber-2008
GPR143	LRRC2	0.0030915318	Co-expression	Jorissen-Sieber-2008
GPR143	CEL	0.002557491	Co-expression	Jorissen-Sieber-2008
GPR143	SLC39A5	0.0017335298	Co-expression	Jorissen-Sieber-2008
GPR143	RUBCNL	0.0023675584	Co-expression	Jorissen-Sieber-2008
TP53RK	AMACR	0.0072424463	Co-expression	Jorissen-Sieber-2008
TP53RK	HUNK	0.0075628185	Co-expression	Jorissen-Sieber-2008
TP53RK	GNG4	0.0076747225	Co-expression	Jorissen-Sieber-2008
TP53RK	FITM2	0.009008597	Co-expression	Jorissen-Sieber-2008
TP53RK	EPDR1	0.0029303427	Co-expression	Jorissen-Sieber-2008
TP53RK	ACOT8	0.00368066	Co-expression	Jorissen-Sieber-2008
TP53RK	TNNC2	0.0021547237	Co-expression	Jorissen-Sieber-2008
TP53RK	CAB39L	0.0030588915	Co-expression	Jorissen-Sieber-2008
PMEPA1	KHDRBS3	0.0044840258	Co-expression	Jorissen-Sieber-2008
PMEPA1	SLC35D3	0.0033456336	Co-expression	Jorissen-Sieber-2008
PMEPA1	ZMYND8	0.004872999	Co-expression	Jorissen-Sieber-2008
PMEPA1	SHROOM4	0.0028251158	Co-expression	Jorissen-Sieber-2008
PMEPA1	EPDR1	0.002839399	Co-expression	Jorissen-Sieber-2008
PMEPA1	NKD1	0.0034725468	Co-expression	Jorissen-Sieber-2008
PMEPA1	TNNC2	0.0019470825	Co-expression	Jorissen-Sieber-2008
PMEPA1	CEL	0.0024542548	Co-expression	Jorissen-Sieber-2008
QPRT	SYT7	0.0059973923	Co-expression	Jorissen-Sieber-2008
QPRT	CFTR	0.005638121	Co-expression	Jorissen-Sieber-2008
QPRT	AMACR	0.0059423028	Co-expression	Jorissen-Sieber-2008
QPRT	DHRS12	0.0056804293	Co-expression	Jorissen-Sieber-2008
QPRT	HUNK	0.0056291837	Co-expression	Jorissen-Sieber-2008
QPRT	CYP2B6	0.005380928	Co-expression	Jorissen-Sieber-2008
QPRT	TINAG	0.0045218854	Co-expression	Jorissen-Sieber-2008
QPRT	GGT7	0.004965107	Co-expression	Jorissen-Sieber-2008
QPRT	GRM8	0.004887795	Co-expression	Jorissen-Sieber-2008
QPRT	NAALADL2	0.0040365164	Co-expression	Jorissen-Sieber-2008
QPRT	KHDRBS3	0.0031899363	Co-expression	Jorissen-Sieber-2008
QPRT	FITM2	0.0051966696	Co-expression	Jorissen-Sieber-2008
QPRT	SPIN3	0.0057357326	Co-expression	Jorissen-Sieber-2008
QPRT	RAB32	0.0049651163	Co-expression	Jorissen-Sieber-2008
QPRT	TCF7	0.0037078173	Co-expression	Jorissen-Sieber-2008
QPRT	CXCL14	0.00338777	Co-expression	Jorissen-Sieber-2008
QPRT	POU5F1B	0.0035060614	Co-expression	Jorissen-Sieber-2008
QPRT	ZMYND8	0.0038312788	Co-expression	Jorissen-Sieber-2008
QPRT	SHROOM4	0.0019463139	Co-expression	Jorissen-Sieber-2008
QPRT	AXIN2	0.0031761904	Co-expression	Jorissen-Sieber-2008
QPRT	CDHR1	0.0028572544	Co-expression	Jorissen-Sieber-2008
QPRT	EPDR1	0.0019952506	Co-expression	Jorissen-Sieber-2008
QPRT	SEMA5A	0.001747225	Co-expression	Jorissen-Sieber-2008
QPRT	NKD1	0.0027212345	Co-expression	Jorissen-Sieber-2008
QPRT	DDAH2	0.002288977	Co-expression	Jorissen-Sieber-2008
QPRT	TNNC2	0.0015722361	Co-expression	Jorissen-Sieber-2008
QPRT	ASCL2	0.0026746532	Co-expression	Jorissen-Sieber-2008
QPRT	CAB39L	0.0025730117	Co-expression	Jorissen-Sieber-2008
QPRT	BCL11A	0.0032752964	Co-expression	Jorissen-Sieber-2008
QPRT	CTTNBP2	0.0019504138	Co-expression	Jorissen-Sieber-2008
QPRT	LRRC2	0.0030290654	Co-expression	Jorissen-Sieber-2008
QPRT	CEL	0.0019444866	Co-expression	Jorissen-Sieber-2008
QPRT	SLC39A5	0.0017011098	Co-expression	Jorissen-Sieber-2008
QPRT	MLH1	0.0022318463	Co-expression	Jorissen-Sieber-2008
QPRT	RUBCNL	0.0022943313	Co-expression	Jorissen-Sieber-2008
QPRT	GPR143	0.0021399015	Co-expression	Jorissen-Sieber-2008
QPRT	PMEPA1	0.0018552048	Co-expression	Jorissen-Sieber-2008
MOGAT3	NOL4L	0.008318438	Co-expression	Jorissen-Sieber-2008
MOGAT3	DHRS12	0.0075493613	Co-expression	Jorissen-Sieber-2008
MOGAT3	CYP2B6	0.006346637	Co-expression	Jorissen-Sieber-2008
MOGAT3	TINAG	0.004974538	Co-expression	Jorissen-Sieber-2008
MOGAT3	CTTNBP2	0.002525643	Co-expression	Jorissen-Sieber-2008
MOGAT3	SLC39A5	0.002123487	Co-expression	Jorissen-Sieber-2008
MOGAT3	IHH	0.0023125943	Co-expression	Jorissen-Sieber-2008
MOGAT3	NR1I2	0.0044737165	Co-expression	Jorissen-Sieber-2008
ATP9A	DHRS12	0.0055275094	Co-expression	Jorissen-Sieber-2008
ATP9A	GGT7	0.004742688	Co-expression	Jorissen-Sieber-2008
ATP9A	GRM8	0.0044552977	Co-expression	Jorissen-Sieber-2008
ATP9A	NAALADL2	0.003353771	Co-expression	Jorissen-Sieber-2008
ATP9A	KHDRBS3	0.003038026	Co-expression	Jorissen-Sieber-2008
ATP9A	SPIN3	0.0049330858	Co-expression	Jorissen-Sieber-2008
ATP9A	TCF7	0.0034128523	Co-expression	Jorissen-Sieber-2008
ATP9A	CXCL14	0.0032006619	Co-expression	Jorissen-Sieber-2008
ATP9A	POFUT1	0.0062816753	Co-expression	Jorissen-Sieber-2008
ATP9A	SLC35D3	0.0022525133	Co-expression	Jorissen-Sieber-2008
ATP9A	ZMYND8	0.004200412	Co-expression	Jorissen-Sieber-2008
ATP9A	SHROOM4	0.0020637817	Co-expression	Jorissen-Sieber-2008
ATP9A	EPDR1	0.0020767315	Co-expression	Jorissen-Sieber-2008
ATP9A	SEMA5A	0.00181574	Co-expression	Jorissen-Sieber-2008
ATP9A	NKD1	0.0023069147	Co-expression	Jorissen-Sieber-2008
ATP9A	DDAH2	0.0025803319	Co-expression	Jorissen-Sieber-2008
ATP9A	TNNC2	0.0017089457	Co-expression	Jorissen-Sieber-2008
ATP9A	ASCL2	0.00206342	Co-expression	Jorissen-Sieber-2008
ATP9A	CAB39L	0.0023839697	Co-expression	Jorissen-Sieber-2008
ATP9A	BCL11A	0.0025159281	Co-expression	Jorissen-Sieber-2008
ATP9A	LRRC2	0.0026563278	Co-expression	Jorissen-Sieber-2008
ATP9A	CEL	0.0018999084	Co-expression	Jorissen-Sieber-2008
ATP9A	MLH1	0.0019008077	Co-expression	Jorissen-Sieber-2008
ATP9A	RUBCNL	0.001777189	Co-expression	Jorissen-Sieber-2008
ATP9A	GPR143	0.0016500815	Co-expression	Jorissen-Sieber-2008
ATP9A	PMEPA1	0.0021090098	Co-expression	Jorissen-Sieber-2008
ATP9A	QPRT	0.001634447	Co-expression	Jorissen-Sieber-2008
IYD	CYP2B6	0.008476067	Co-expression	Jorissen-Sieber-2008
IYD	NAALADL2	0.0058075567	Co-expression	Jorissen-Sieber-2008
IYD	CXCL14	0.005435992	Co-expression	Jorissen-Sieber-2008
IYD	SEMA5A	0.0031593116	Co-expression	Jorissen-Sieber-2008
IYD	TNNC2	0.0024460254	Co-expression	Jorissen-Sieber-2008
IYD	CTTNBP2	0.0032585638	Co-expression	Jorissen-Sieber-2008
IYD	LRRC2	0.004815487	Co-expression	Jorissen-Sieber-2008
IYD	IHH	0.0024955552	Co-expression	Jorissen-Sieber-2008
IYD	RUBCNL	0.0028270346	Co-expression	Jorissen-Sieber-2008
IYD	NR1I2	0.005220852	Co-expression	Jorissen-Sieber-2008
IYD	MOGAT3	0.0029307	Co-expression	Jorissen-Sieber-2008
VAV3	CFTR	0.008383424	Co-expression	Jorissen-Sieber-2008
VAV3	AMACR	0.0065056053	Co-expression	Jorissen-Sieber-2008
VAV3	RNLS	0.005599079	Co-expression	Jorissen-Sieber-2008
VAV3	HUNK	0.0057004406	Co-expression	Jorissen-Sieber-2008
VAV3	CYP2B6	0.007296968	Co-expression	Jorissen-Sieber-2008
VAV3	TINAG	0.005802919	Co-expression	Jorissen-Sieber-2008
VAV3	GGT7	0.0050351005	Co-expression	Jorissen-Sieber-2008
VAV3	GRM8	0.0057173423	Co-expression	Jorissen-Sieber-2008
VAV3	KHDRBS3	0.003737795	Co-expression	Jorissen-Sieber-2008
VAV3	FITM2	0.005821547	Co-expression	Jorissen-Sieber-2008
VAV3	SPIN3	0.0052578663	Co-expression	Jorissen-Sieber-2008
VAV3	RAB32	0.007911291	Co-expression	Jorissen-Sieber-2008
VAV3	CXCL14	0.0036685024	Co-expression	Jorissen-Sieber-2008
VAV3	AXIN2	0.0035781094	Co-expression	Jorissen-Sieber-2008
VAV3	CDHR1	0.0039102454	Co-expression	Jorissen-Sieber-2008
VAV3	NOX1	0.0028075231	Co-expression	Jorissen-Sieber-2008
VAV3	SEMA5A	0.0022060268	Co-expression	Jorissen-Sieber-2008
VAV3	BCL11A	0.0033715456	Co-expression	Jorissen-Sieber-2008
VAV3	CTTNBP2	0.0026111004	Co-expression	Jorissen-Sieber-2008
VAV3	LRRC2	0.0032993557	Co-expression	Jorissen-Sieber-2008
VAV3	SLC39A5	0.0018109067	Co-expression	Jorissen-Sieber-2008
VAV3	IHH	0.002439764	Co-expression	Jorissen-Sieber-2008
VAV3	MLH1	0.0024332511	Co-expression	Jorissen-Sieber-2008
VAV3	RUBCNL	0.0024608558	Co-expression	Jorissen-Sieber-2008
VAV3	NR1I2	0.0034720215	Co-expression	Jorissen-Sieber-2008
VAV3	GPR143	0.0020433706	Co-expression	Jorissen-Sieber-2008
VAV3	QPRT	0.0018552592	Co-expression	Jorissen-Sieber-2008
VAV3	IYD	0.002901296	Co-expression	Jorissen-Sieber-2008
GFI1	LMO4	0.007367449	Co-expression	Jorissen-Sieber-2008
GFI1	FECH	0.0076196305	Co-expression	Jorissen-Sieber-2008
GFI1	RNF125	0.00345762	Co-expression	Jorissen-Sieber-2008
GFI1	ASPHD2	0.0024674085	Co-expression	Jorissen-Sieber-2008
GFI1	GNLY	0.0023981933	Co-expression	Jorissen-Sieber-2008
GFI1	RAB27B	0.005473785	Co-expression	Jorissen-Sieber-2008
MCUB	PIAS2	0.01124938	Co-expression	Jorissen-Sieber-2008
MCUB	ASPHD2	0.0033419142	Co-expression	Jorissen-Sieber-2008
MCUB	HPSE	0.00426178	Co-expression	Jorissen-Sieber-2008
MCUB	OXCT1	0.005407918	Co-expression	Jorissen-Sieber-2008
MCUB	GNLY	0.0035154885	Co-expression	Jorissen-Sieber-2008
TRIB2	ADGRG6	0.0096516125	Co-expression	Jorissen-Sieber-2008
TRIB2	LMO4	0.008084837	Co-expression	Jorissen-Sieber-2008
TRIB2	JAK2	0.0059656333	Co-expression	Jorissen-Sieber-2008
TRIB2	RNF125	0.004209195	Co-expression	Jorissen-Sieber-2008
TRIB2	ULBP2	0.0057804035	Co-expression	Jorissen-Sieber-2008
TRIB2	RAB27B	0.005515936	Co-expression	Jorissen-Sieber-2008
TRIB2	GFI1	0.0024181055	Co-expression	Jorissen-Sieber-2008
TRIB2	MCUB	0.003651163	Co-expression	Jorissen-Sieber-2008
ZSWIM3	GNG4	0.012314245	Co-expression	Jorissen-Sieber-2008
ZSWIM3	SPIN3	0.01163732	Co-expression	Jorissen-Sieber-2008
ZSWIM3	SLC35D3	0.0056811436	Co-expression	Jorissen-Sieber-2008
ZSWIM3	SHROOM4	0.0042301696	Co-expression	Jorissen-Sieber-2008
ZSWIM3	DDAH2	0.0056989184	Co-expression	Jorissen-Sieber-2008
ZSWIM3	ACOT8	0.005408696	Co-expression	Jorissen-Sieber-2008
ZSWIM3	TNNC2	0.0036053816	Co-expression	Jorissen-Sieber-2008
ZSWIM3	ASCL2	0.0047120326	Co-expression	Jorissen-Sieber-2008
ZSWIM3	CEL	0.0040796376	Co-expression	Jorissen-Sieber-2008
ZSWIM3	GPR143	0.003593013	Co-expression	Jorissen-Sieber-2008
ZSWIM3	ATP9A	0.002726379	Co-expression	Jorissen-Sieber-2008
GZMA	CIITA	0.006385982	Co-expression	Jorissen-Sieber-2008
GZMA	FECH	0.0069383522	Co-expression	Jorissen-Sieber-2008
GZMA	APOL6	0.0072671953	Co-expression	Jorissen-Sieber-2008
GZMA	JAK2	0.0047923573	Co-expression	Jorissen-Sieber-2008
GZMA	CD274	0.004046887	Co-expression	Jorissen-Sieber-2008
GZMA	ASPHD2	0.0021380044	Co-expression	Jorissen-Sieber-2008
GZMA	CTSW	0.0045175427	Co-expression	Jorissen-Sieber-2008
GZMA	GNLY	0.0031195842	Co-expression	Jorissen-Sieber-2008
GZMA	RAB27B	0.0042036395	Co-expression	Jorissen-Sieber-2008
GZMA	GBP4	0.002876785	Co-expression	Jorissen-Sieber-2008
GZMA	GFI1	0.0019917113	Co-expression	Jorissen-Sieber-2008
GZMA	MCUB	0.0027260163	Co-expression	Jorissen-Sieber-2008
ENO2	DOCK5	0.0064799385	Co-expression	Jorissen-Sieber-2008
ENO2	ASPHD2	0.002367659	Co-expression	Jorissen-Sieber-2008
ENO2	GFI1	0.0022973754	Co-expression	Jorissen-Sieber-2008
TSPAN6	CFTR	0.0073938966	Co-expression	Jorissen-Sieber-2008
TSPAN6	AMACR	0.005838641	Co-expression	Jorissen-Sieber-2008
TSPAN6	HUNK	0.0052508684	Co-expression	Jorissen-Sieber-2008
TSPAN6	CYP2B6	0.006336188	Co-expression	Jorissen-Sieber-2008
TSPAN6	TINAG	0.0043159877	Co-expression	Jorissen-Sieber-2008
TSPAN6	GGT7	0.004390019	Co-expression	Jorissen-Sieber-2008
TSPAN6	GRM8	0.0049566487	Co-expression	Jorissen-Sieber-2008
TSPAN6	FITM2	0.006010266	Co-expression	Jorissen-Sieber-2008
TSPAN6	RAB32	0.0058748215	Co-expression	Jorissen-Sieber-2008
TSPAN6	POFUT1	0.007228473	Co-expression	Jorissen-Sieber-2008
TSPAN6	SLC35D3	0.0025323313	Co-expression	Jorissen-Sieber-2008
TSPAN6	SHROOM4	0.0021754766	Co-expression	Jorissen-Sieber-2008
TSPAN6	AXIN2	0.0031959733	Co-expression	Jorissen-Sieber-2008
TSPAN6	NOX1	0.0025035322	Co-expression	Jorissen-Sieber-2008
TSPAN6	EPDR1	0.0025452632	Co-expression	Jorissen-Sieber-2008
TSPAN6	SEMA5A	0.0020768445	Co-expression	Jorissen-Sieber-2008
TSPAN6	TNNC2	0.0016976871	Co-expression	Jorissen-Sieber-2008
TSPAN6	CTTNBP2	0.00209934	Co-expression	Jorissen-Sieber-2008
TSPAN6	LRRC2	0.0026830605	Co-expression	Jorissen-Sieber-2008
TSPAN6	SLC39A5	0.0016562992	Co-expression	Jorissen-Sieber-2008
TSPAN6	IHH	0.0020923312	Co-expression	Jorissen-Sieber-2008
TSPAN6	MLH1	0.0019780276	Co-expression	Jorissen-Sieber-2008
TSPAN6	RUBCNL	0.0023110418	Co-expression	Jorissen-Sieber-2008
TSPAN6	NR1I2	0.00319979	Co-expression	Jorissen-Sieber-2008
TSPAN6	GPR143	0.0019174103	Co-expression	Jorissen-Sieber-2008
TSPAN6	TP53RK	0.002118396	Co-expression	Jorissen-Sieber-2008
TSPAN6	QPRT	0.0015398588	Co-expression	Jorissen-Sieber-2008
TSPAN6	ATP9A	0.0014881407	Co-expression	Jorissen-Sieber-2008
TSPAN6	IYD	0.0024433292	Co-expression	Jorissen-Sieber-2008
TSPAN6	VAV3	0.002070204	Co-expression	Jorissen-Sieber-2008
TSPAN6	ZSWIM3	0.0029815752	Co-expression	Jorissen-Sieber-2008
PRR15	CFTR	0.0053994413	Co-expression	Jorissen-Sieber-2008
PRR15	MAPRE3	0.004153154	Co-expression	Jorissen-Sieber-2008
PRR15	AMACR	0.0056669544	Co-expression	Jorissen-Sieber-2008
PRR15	CYP2B6	0.005567893	Co-expression	Jorissen-Sieber-2008
PRR15	TINAG	0.0040789135	Co-expression	Jorissen-Sieber-2008
PRR15	GGT7	0.004149885	Co-expression	Jorissen-Sieber-2008
PRR15	GRM8	0.0047884327	Co-expression	Jorissen-Sieber-2008
PRR15	NAALADL2	0.0037449927	Co-expression	Jorissen-Sieber-2008
PRR15	KHDRBS3	0.0032722445	Co-expression	Jorissen-Sieber-2008
PRR15	RAB32	0.0048287716	Co-expression	Jorissen-Sieber-2008
PRR15	CXCL14	0.0029512274	Co-expression	Jorissen-Sieber-2008
PRR15	POFUT1	0.005940793	Co-expression	Jorissen-Sieber-2008
PRR15	SLC35D3	0.0022219708	Co-expression	Jorissen-Sieber-2008
PRR15	ZMYND8	0.0032351916	Co-expression	Jorissen-Sieber-2008
PRR15	SHROOM4	0.0018524508	Co-expression	Jorissen-Sieber-2008
PRR15	AXIN2	0.0031027684	Co-expression	Jorissen-Sieber-2008
PRR15	NOX1	0.0024217085	Co-expression	Jorissen-Sieber-2008
PRR15	EPDR1	0.0022951665	Co-expression	Jorissen-Sieber-2008
PRR15	SEMA5A	0.0018814807	Co-expression	Jorissen-Sieber-2008
PRR15	TNNC2	0.0015952919	Co-expression	Jorissen-Sieber-2008
PRR15	CAB39L	0.0023100362	Co-expression	Jorissen-Sieber-2008
PRR15	CTTNBP2	0.0019308613	Co-expression	Jorissen-Sieber-2008
PRR15	CEL	0.0016619182	Co-expression	Jorissen-Sieber-2008
PRR15	SLC39A5	0.0015130203	Co-expression	Jorissen-Sieber-2008
PRR15	IHH	0.0017255258	Co-expression	Jorissen-Sieber-2008
PRR15	MLH1	0.0016730072	Co-expression	Jorissen-Sieber-2008
PRR15	RUBCNL	0.0017794167	Co-expression	Jorissen-Sieber-2008
PRR15	NR1I2	0.002493895	Co-expression	Jorissen-Sieber-2008
PRR15	GPR143	0.0016069531	Co-expression	Jorissen-Sieber-2008
PRR15	QPRT	0.0013591453	Co-expression	Jorissen-Sieber-2008
PRR15	MOGAT3	0.0018074353	Co-expression	Jorissen-Sieber-2008
PRR15	ATP9A	0.001379804	Co-expression	Jorissen-Sieber-2008
PRR15	IYD	0.0023489806	Co-expression	Jorissen-Sieber-2008
PRR15	VAV3	0.0018346589	Co-expression	Jorissen-Sieber-2008
PRR15	TSPAN6	0.0016985756	Co-expression	Jorissen-Sieber-2008
ENGASE	TCF7	0.0032614493	Co-expression	Jorissen-Sieber-2008
ENGASE	ZMYND8	0.0042236545	Co-expression	Jorissen-Sieber-2008
ENGASE	NKD1	0.0026542654	Co-expression	Jorissen-Sieber-2008
ENGASE	CEL	0.0022128017	Co-expression	Jorissen-Sieber-2008
ENGASE	SLC39A5	0.0013678117	Co-expression	Jorissen-Sieber-2008
ENGASE	QPRT	0.0013293683	Co-expression	Jorissen-Sieber-2008
ENGASE	ATP9A	0.0013483895	Co-expression	Jorissen-Sieber-2008
PLAGL2	NOL4L	0.0058668796	Co-expression	Jorissen-Sieber-2008
PLAGL2	SYT7	0.006243149	Co-expression	Jorissen-Sieber-2008
PLAGL2	AMACR	0.0062407367	Co-expression	Jorissen-Sieber-2008
PLAGL2	HUNK	0.0060879737	Co-expression	Jorissen-Sieber-2008
PLAGL2	CYP2B6	0.005590934	Co-expression	Jorissen-Sieber-2008
PLAGL2	GGT7	0.00452165	Co-expression	Jorissen-Sieber-2008
PLAGL2	GRM8	0.0039575826	Co-expression	Jorissen-Sieber-2008
PLAGL2	GNG4	0.006541355	Co-expression	Jorissen-Sieber-2008
PLAGL2	KHDRBS3	0.0033650198	Co-expression	Jorissen-Sieber-2008
PLAGL2	FITM2	0.0062640216	Co-expression	Jorissen-Sieber-2008
PLAGL2	TCF7	0.003551684	Co-expression	Jorissen-Sieber-2008
PLAGL2	POFUT1	0.0075165457	Co-expression	Jorissen-Sieber-2008
PLAGL2	SLC35D3	0.0023818947	Co-expression	Jorissen-Sieber-2008
PLAGL2	SHROOM4	0.002201969	Co-expression	Jorissen-Sieber-2008
PLAGL2	CDHR1	0.0028298742	Co-expression	Jorissen-Sieber-2008
PLAGL2	EPDR1	0.0025779374	Co-expression	Jorissen-Sieber-2008
PLAGL2	NKD1	0.0024002613	Co-expression	Jorissen-Sieber-2008
PLAGL2	ACOT8	0.0025770338	Co-expression	Jorissen-Sieber-2008
PLAGL2	TNNC2	0.001645324	Co-expression	Jorissen-Sieber-2008
PLAGL2	ASCL2	0.0024442119	Co-expression	Jorissen-Sieber-2008
PLAGL2	CAB39L	0.0023104665	Co-expression	Jorissen-Sieber-2008
PLAGL2	BCL11A	0.002941719	Co-expression	Jorissen-Sieber-2008
PLAGL2	LRRC2	0.002500747	Co-expression	Jorissen-Sieber-2008
PLAGL2	CEL	0.002249105	Co-expression	Jorissen-Sieber-2008
PLAGL2	SLC39A5	0.0015433453	Co-expression	Jorissen-Sieber-2008
PLAGL2	IHH	0.001794369	Co-expression	Jorissen-Sieber-2008
PLAGL2	RUBCNL	0.0020269125	Co-expression	Jorissen-Sieber-2008
PLAGL2	GPR143	0.0020779688	Co-expression	Jorissen-Sieber-2008
PLAGL2	TP53RK	0.002193079	Co-expression	Jorissen-Sieber-2008
PLAGL2	QPRT	0.0015728852	Co-expression	Jorissen-Sieber-2008
PLAGL2	ATP9A	0.00142167	Co-expression	Jorissen-Sieber-2008
PLAGL2	VAV3	0.0018052424	Co-expression	Jorissen-Sieber-2008
PLAGL2	ZSWIM3	0.003153372	Co-expression	Jorissen-Sieber-2008
PLAGL2	TSPAN6	0.0017395186	Co-expression	Jorissen-Sieber-2008
PLAGL2	PRR15	0.0015829831	Co-expression	Jorissen-Sieber-2008
PPP1R14D	CFTR	0.0066922395	Co-expression	Jorissen-Sieber-2008
PPP1R14D	RNLS	0.005341665	Co-expression	Jorissen-Sieber-2008
PPP1R14D	CYP2B6	0.0055683707	Co-expression	Jorissen-Sieber-2008
PPP1R14D	TINAG	0.0043131323	Co-expression	Jorissen-Sieber-2008
PPP1R14D	GGT7	0.004477869	Co-expression	Jorissen-Sieber-2008
PPP1R14D	NAALADL2	0.0036382228	Co-expression	Jorissen-Sieber-2008
PPP1R14D	RAB32	0.0051480983	Co-expression	Jorissen-Sieber-2008
PPP1R14D	CXCL14	0.0036893464	Co-expression	Jorissen-Sieber-2008
PPP1R14D	CDHR1	0.0029303245	Co-expression	Jorissen-Sieber-2008
PPP1R14D	NOX1	0.0025181195	Co-expression	Jorissen-Sieber-2008
PPP1R14D	SEMA5A	0.0017470655	Co-expression	Jorissen-Sieber-2008
PPP1R14D	TNNC2	0.0016196008	Co-expression	Jorissen-Sieber-2008
PPP1R14D	CTTNBP2	0.0022386722	Co-expression	Jorissen-Sieber-2008
PPP1R14D	SLC39A5	0.0015944941	Co-expression	Jorissen-Sieber-2008
PPP1R14D	IHH	0.0018981689	Co-expression	Jorissen-Sieber-2008
PPP1R14D	RUBCNL	0.0020638504	Co-expression	Jorissen-Sieber-2008
PPP1R14D	NR1I2	0.0036927678	Co-expression	Jorissen-Sieber-2008
PPP1R14D	MOGAT3	0.002660223	Co-expression	Jorissen-Sieber-2008
PPP1R14D	IYD	0.0026232514	Co-expression	Jorissen-Sieber-2008
PPP1R14D	VAV3	0.0018669608	Co-expression	Jorissen-Sieber-2008
